"Nombre","Apellidos","DNI","Teléfono","País","Vehículo","Total Multas"
"Enrique","Canet","78398697T","+49-646550448","Alemania","7352RJS","423"
"Quirino","Riera Borja","57064134F","+39-659353843","Italia","5730ABK","537"
"Maribel","Vergara-Jurado","26244413X","+30-652619590","Grecia","1347ARV","359"
"Galo","Landa Manzanares","85851460G","+44-676685302","Reino Unido","4277PGZ","498"
"Yésica","Guardia Bernad","53209991C","+33-675816899","Francia","2952DEM","355"
"Faustino","Morillo","75542324C","+34-603184461","España","5584QNZ","621"
"Toni","Salazar","07413774T","+39-699661630","Italia","1185XTN","647"
"Salomé","Ibañez-Gómez","62133877K","+351-615170532","Portugal","7647ENK","576"
"Felix","Cámara Cid","16452554X","+44-620555623","Reino Unido","3038OPS","337"
"Ciriaco Adán","Jiménez","21406979M","+30-672502563","Grecia","7138SOM","122"
"Ildefonso Jaume","Alcalá","84631347H","+7-652446130","Rusia","1544SCO","499"
"Adelina","Teruel Gálvez","86502064F","+39-626457955","Italia","3318RTQ","466"
"Amado","Benavente-Riba","80217299S","+7-694339266","Rusia","3460LXI","375"
"Hernando","Amores","85221492Y","+41-625257591","Suiza","4222ZOD","644"
"Paulina","Anglada Cervera","27263550V","+49-603605773","Alemania","5174APN","470"
"Baltasar","Guzman-Rozas","05877725Y","+41-643862432","Suiza","2639WND","546"
"Natalia Aroa","Palomares Blasco","66175677P","+34-675420541","España","3404BCV","402"
"Fermín","Gomis Ayllón","20318104L","+30-614258964","Grecia","9551IRM","346"
"Anna","Sierra Carbonell","84578084T","+30-675082463","Grecia","1842DHQ","533"
"Eva María","Cepeda Fuentes","16684066G","+39-627543686","Italia","8107LSN","359"
"Remigio Isidro","Roldán Leal","24578943Q","+44-668956378","Reino Unido","8501EIW","525"
"Úrsula","Lluch","50075685Q","+380-648778701","Ucrania","6891MCG","411"
"Manuel","Estrada","49207871S","+49-681364330","Alemania","5758NSA","676"
"Amílcar","Teruel","82190722S","+30-634478679","Grecia","1350PTB","146"
"Ana Sofía","Corral Llorens","85310497R","+41-668873465","Suiza","6130XNW","566"
"José","Tolosa Maestre","50933502W","+33-681415423","Francia","1989ZLS","474"
"Cayetana","Nadal Crespi","88467939A","+7-639800393","Rusia","6349PEC","417"
"Cristian","Ruiz Arco","76705269Q","+351-633433215","Portugal","6804UQN","461"
"Rafael","Alfonso-Lloret","19130746J","+351-610228710","Portugal","8527PVS","428"
"Íngrid","Lloret Cifuentes","34087087Y","+380-668504691","Ucrania","8986ADN","363"
"Chus","Del Prada","15447441C","+33-674077964","Francia","6441DNA","634"
"Sara","Badía Almeida","10533261C","+7-697437607","Rusia","3882YXN","797"
"Pío","Ojeda Garriga","95554415H","+41-656074123","Suiza","7147QMX","777"
"Remedios","Zapata","30617495X","+33-6950321689","Francia","7548EOS","549"
"Iris","Saez","76418019J","+39-645178841","Italia","1036OSB","482"
"Esteban","Luna","14252299G","+33-607018491","Francia","2898VLC","620"
"María Fernanda","Mercader Roman","93499143A","+34-674725699","España","4748SWP","384"
"Socorro","Espejo Luz","89734192Z","+351-612191513","Portugal","4798ZSJ","492"
"Dolores","Seco Castellanos","92154120C","+49-657903461","Alemania","1690WLD","408"
"Cornelio","Barreda Verdú","25858885P","+380-610474632","Ucrania","7710XJS","604"
"Paola","García","15802707M","+34-600230922","España","9767DUS","540"
"Urbano","Bello Portero","25194358C","+380-689873005","Ucrania","5269BLS","333"
"Cruz","Aguado Hervás","03447074H","+44-605058434","Reino Unido","8713OCN","477"
"Severiano","Garcia Padilla","40857375Z","+380-627201772","Ucrania","1155QOS","543"
"Ibán","Larrañaga Isern","63970932C","+30-668045110","Grecia","3522NXS","353"
"Emilio","Suarez","82912302Q","+351-637751651","Portugal","1574LSN","525"
"Aitana","Cases Osuna","71765240L","+44-601588893","Reino Unido","1977IDN","396"
"Camilo","Lasa-Marcos","61576853B","+49-683007480","Alemania","7662KEH","488"
"Herminio","Lladó Sedano","48882244E","+7-683557230","Rusia","4528HSN","469"
"Susana","Mariño Cañellas","63651416C","+41-682664468","Suiza","8264ZQW","665"
